state,day,feat,value,rank.states,1,2,3,4,5
Alabama,2020-01-01,0,422,4,because of the,online,right now .,situation,china
Alabama,2020-01-01,36,497,3,media,bullshit,information,it would be,scare
Alabama,2020-01-01,48,531,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-01,73,510,2,cure,world,made,imagine,ebola
Alabama,2020-01-01,93,398,5,#iran,thread,died,die,in 
Alabama,2020-01-02,0,385,5,because of the,online,right now .,situation,china
Alabama,2020-01-02,36,466,3,media,bullshit,information,it would be,scare
Alabama,2020-01-02,48,514,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-02,73,483,2,cure,world,made,imagine,ebola
Alabama,2020-01-02,93,390,4,#iran,thread,died,die,in 
Alabama,2020-01-03,0,446,5,because of the,online,right now .,situation,china
Alabama,2020-01-03,36,639,3,media,bullshit,information,it would be,scare
Alabama,2020-01-03,48,765,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-03,73,757,2,cure,world,made,imagine,ebola
Alabama,2020-01-03,93,498,4,#iran,thread,died,die,in 
Alabama,2020-01-04,0,400,4,because of the,online,right now .,situation,china
Alabama,2020-01-04,36,520,3,media,bullshit,information,it would be,scare
Alabama,2020-01-04,48,577,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-04,56,384,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-04,73,551,2,cure,world,made,imagine,ebola
Alabama,2020-01-05,0,416,4,because of the,online,right now .,situation,china
Alabama,2020-01-05,36,531,3,media,bullshit,information,it would be,scare
Alabama,2020-01-05,48,608,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-05,56,411,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-05,73,537,2,cure,world,made,imagine,ebola
Alabama,2020-01-06,0,384,5,because of the,online,right now .,situation,china
Alabama,2020-01-06,36,512,2,media,bullshit,information,it would be,scare
Alabama,2020-01-06,48,558,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-06,73,506,3,cure,world,made,imagine,ebola
Alabama,2020-01-06,93,391,4,#iran,thread,died,die,in 
Alabama,2020-01-07,0,420,4,because of the,online,right now .,situation,china
Alabama,2020-01-07,36,574,3,media,bullshit,information,it would be,scare
Alabama,2020-01-07,48,615,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-07,56,408,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-07,73,579,2,cure,world,made,imagine,ebola
Alabama,2020-01-08,0,407,4,because of the,online,right now .,situation,china
Alabama,2020-01-08,36,568,3,media,bullshit,information,it would be,scare
Alabama,2020-01-08,48,652,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-08,56,381,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-08,73,592,2,cure,world,made,imagine,ebola
Alabama,2020-01-09,0,386,4,because of the,online,right now .,situation,china
Alabama,2020-01-09,36,543,3,media,bullshit,information,it would be,scare
Alabama,2020-01-09,48,606,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-09,73,564,2,cure,world,made,imagine,ebola
Alabama,2020-01-09,93,385,5,#iran,thread,died,die,in 
Alabama,2020-01-10,0,373,4,because of the,online,right now .,situation,china
Alabama,2020-01-10,36,480,3,media,bullshit,information,it would be,scare
Alabama,2020-01-10,48,551,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-10,56,373,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-10,73,491,2,cure,world,made,imagine,ebola
Alabama,2020-01-11,0,430,4,because of the,online,right now .,situation,china
Alabama,2020-01-11,36,558,2,media,bullshit,information,it would be,scare
Alabama,2020-01-11,48,608,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-11,73,552,3,cure,world,made,imagine,ebola
Alabama,2020-01-11,93,404,5,#iran,thread,died,die,in 
Alabama,2020-01-12,0,396,4,because of the,online,right now .,situation,china
Alabama,2020-01-12,36,544,3,media,bullshit,information,it would be,scare
Alabama,2020-01-12,48,590,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-12,56,353,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-12,73,574,2,cure,world,made,imagine,ebola
Alabama,2020-01-13,0,414,4,because of the,online,right now .,situation,china
Alabama,2020-01-13,36,514,3,media,bullshit,information,it would be,scare
Alabama,2020-01-13,48,554,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-13,56,375,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-13,73,523,2,cure,world,made,imagine,ebola
Alabama,2020-01-14,0,382,4,because of the,online,right now .,situation,china
Alabama,2020-01-14,36,459,3,media,bullshit,information,it would be,scare
Alabama,2020-01-14,48,507,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-14,56,324,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-14,73,466,2,cure,world,made,imagine,ebola
Alabama,2020-01-15,0,122,4,because of the,online,right now .,situation,china
Alabama,2020-01-15,36,136,3,media,bullshit,information,it would be,scare
